availability,brand,category,color,currency,date,discount,name,picture,price,productid,url
in stock,Bottega Veneta,Side Bag,Black,€,2022-12-10,,Bottega Veneta Black Side Bag,https://luxurybyho.com/wp-content/uploads/2021/03/IMG_9543.jpg,421.50,bottega_veneta_black_side_bag_20221210,https://luxurybyho.com/shop/bottega-veneta-black-side-bag/
in stock,Prada,Shoulder Bag,Red,€,2022-12-10,,Prada Red Chain Bag,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_5088-scaled.jpg,435.00,prada_red_chain_bag_20221210,https://luxurybyho.com/shop/prada-red-chain-bag/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Plastic Zucca Shoulder Bag,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_4458-2.jpg,435.00,fendi_plastic_zucca_shoulder_bag_20221210,https://luxurybyho.com/shop/fendi-plastic-zucca-shoulder-bag/
in stock,Louis Vuitton,Shoulder Bag,Beige,€,2022-12-10,,Louis Vuitton Large Beige Shoulder Bag,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_0899-5-scaled.jpg,435.00,louis_vuitton_large_beige_shoulder_bag_20221210,https://luxurybyho.com/shop/louis-vuitton-large-beige-shoulder-bag/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Plastic Zucca Mamma,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_1636-5-scaled.jpg,435.00,fendi_plastic_zucca_mamma_20221210,https://luxurybyho.com/shop/fendi-plastic-zucca-mamma/
in stock,Louis Vuitton,"Briefcase, Crossbody Bag",Brown,€,2022-12-10,,Louis Vuitton Noé,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_2700-7-scaled.jpg,435.00,louis_vuitton_noe_74_20221210,https://luxurybyho.com/shop/louis-vuitton-noe-74/
in stock,Fendi,Shoulder Bag,Beige,€,2022-12-10,,Fendi Beige Leather Mamma,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_3624-2-scaled.jpg,435.00,fendi_beige_leather_mamma_2_20221210,https://luxurybyho.com/shop/fendi-beige-leather-mamma-2/
in stock,Balenciaga,Crossbody Bag,Pink,€,2022-12-10,,Balenciaga Light Pink City,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_4188-2-scaled.jpg,435.00,balenciaga_light_pink_city_2_20221210,https://luxurybyho.com/shop/balenciaga-light-pink-city-2/
in stock,Fendi,Weekend Bag,Brown,€,2022-12-10,,Fendi PVC Zucca Duffle Bag,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_8424-2.jpg,448.50,fendi_pvc_zucca_duffle_bag_20221210,https://luxurybyho.com/shop/fendi-pvc-zucca-duffle-bag/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Plastic Zucca Shoulder Bag,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_6536-2-scaled.jpg,448.50,fendi_plastic_zucca_shoulder_bag_3_20221210,https://luxurybyho.com/shop/fendi-plastic-zucca-shoulder-bag-3/
in stock,Bottega Veneta,Briefcase,Red,€,2022-12-10,,Bottega Veneta Red Briefcase,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_3141-3-scaled.jpg,448.50,bottega_veneta_red_briefcase_20221210,https://luxurybyho.com/shop/bottega-veneta-red-briefcase/
in stock,Louis Vuitton,Crossbody Bag,Brown,€,2022-12-10,,Louis Vuitton Noé,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_8223-3-scaled.jpg,448.50,louis_vuitton_noe_63_20221210,https://luxurybyho.com/shop/louis-vuitton-noe-63/
in stock,Louis Vuitton,Weekend Bag,Brown,€,2022-12-10,,Louis Vuitton 50 Keepall,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_2698-7-scaled.jpg,448.50,louis_vuitton_50_keepall_9_20221210,https://luxurybyho.com/shop/louis-vuitton-50-keepall-9/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Small Zucca Hobo,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_3953-4-scaled.jpg,448.50,fendi_small_zucca_hobo_20221210,https://luxurybyho.com/shop/fendi-small-zucca-hobo/
in stock,Fendi,Shoulder Bag,"Blue, Grey",€,2022-12-10,,Fendi Navy & Grey Shoulder Bag,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_4648-4-scaled.jpg,448.50,fendi_navy_grey_shoulder_bag_2_20221210,https://luxurybyho.com/shop/fendi-navy-grey-shoulder-bag-2/
